                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4749,                 3.5669,                 2.4248,                 1.6879,                0.46783,                  0.436,                0.43485,                0.29117,                0.47358,                0.38548,                   0.38,                0.26645,                 1.4849,                 3.5343,                 2.0453,                 1.5929,             0.00041454,             0.00041454,             0.00041454
                      2,                 1.3524,                 2.8206,                 1.7179,                 1.5206,                0.62267,                0.48335,                0.54356,                0.36065,                0.63913,                0.40253,                0.42676,                0.31213,                 1.5715,                 3.6616,                 1.8977,                 1.5038,             0.00082298,             0.00082298,             0.00082298
                      3,                 1.2859,                 2.6658,                 1.5429,                 1.4822,                0.64647,                0.60296,                0.64817,                 0.4317,                0.53149,                0.50172,                0.47781,                0.34314,                 1.3918,                 3.1168,                 1.5176,                  1.488,              0.0012232,              0.0012232,              0.0012232
                      4,                 1.2273,                  2.555,                 1.4368,                 1.4304,                0.68411,                0.62613,                  0.671,                0.45415,                0.70621,                0.52298,                0.56471,                0.38833,                 1.2254,                 3.0178,                 1.4063,                 1.3708,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.157,                 2.4104,                  1.302,                 1.3742,                0.80636,                0.68628,                0.75589,                0.52576,                0.66604,                0.55735,                0.53695,                0.38354,                 1.1979,                 2.8498,                 1.1926,                 1.2932,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1407,                 2.3685,                 1.2403,                 1.3522,                 0.8198,                0.70856,                  0.771,                0.51287,                0.67875,                0.57084,                0.53065,                0.38447,                 1.3556,                 2.6611,                 1.2153,                 1.3168,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1005,                 2.2942,                 1.1607,                 1.3196,                0.81406,                0.72198,                0.76243,                0.54576,                0.68754,                 0.5826,                0.54487,                0.40855,                  1.123,                 2.6816,                 1.1335,                 1.2589,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0626,                 2.1473,                 1.0833,                 1.3004,                 0.8103,                0.72939,                0.79289,                0.57285,                0.67942,                0.60945,                 0.5834,                 0.4265,                  1.115,                 2.5859,                  1.073,                 1.2238,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0761,                 2.1355,                 1.0745,                 1.3047,                0.86023,                0.71711,                0.78443,                0.57178,                0.73074,                0.60535,                0.56605,                0.41813,                 1.1257,                 2.4539,                 1.0489,                 1.2374,               0.001151,               0.001151,               0.001151
                     10,                 1.0657,                 2.0983,                  1.044,                 1.2879,                0.87947,                0.74078,                0.81584,                0.60503,                0.74336,                0.61612,                0.57417,                0.43664,                 1.0381,                  2.358,                 1.0036,                 1.1768,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.031,                 1.9677,                0.97521,                 1.2692,                0.90662,                0.74267,                0.83359,                 0.6077,                0.77203,                 0.6242,                0.62485,                0.45578,                 1.0916,                 2.2449,                0.94856,                 1.1939,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0129,                 1.9546,                0.94319,                 1.2464,                0.80001,                  0.781,                0.81694,                0.60469,                 0.7312,                0.61241,                0.59806,                0.43698,                 1.0434,                 2.2814,                0.92763,                 1.1822,              0.0011139,              0.0011139,              0.0011139
                     13,                0.99494,                 1.9149,                0.92915,                 1.2436,                  0.857,                0.78635,                 0.8446,                0.60133,                0.74095,                0.65359,                0.61691,                0.44636,                 1.1627,                 2.2874,                0.95343,                 1.2108,              0.0011015,              0.0011015,              0.0011015
                     14,                0.98449,                 1.8613,                0.91587,                 1.2384,                0.86855,                0.78368,                0.83725,                0.62348,                0.74693,                0.66344,                0.62265,                 0.4658,                0.98662,                 2.1127,                0.86053,                 1.1217,              0.0010891,              0.0010891,              0.0010891
                     15,                0.98585,                   1.86,                0.89403,                 1.2409,                0.87994,                0.74789,                0.83324,                0.62342,                0.72316,                0.63978,                0.60849,                0.45463,                 1.0224,                 2.1278,                0.87498,                 1.1561,              0.0010768,              0.0010768,              0.0010768
                     16,                0.96917,                 1.7743,                0.88222,                 1.2252,                0.89749,                0.78242,                 0.8581,                0.62878,                0.76365,                0.65312,                0.63253,                0.47126,                0.97841,                 1.9799,                0.85147,                 1.1233,              0.0010644,              0.0010644,              0.0010644
                     17,                0.94665,                 1.7382,                0.84581,                 1.2192,                0.88662,                 0.7937,                0.86162,                0.60583,                0.73819,                 0.6622,                0.62503,                0.44348,                 1.0784,                 2.1953,                0.87454,                 1.1514,               0.001052,               0.001052,               0.001052
                     18,                0.94603,                  1.767,                0.85687,                 1.2072,                0.87494,                0.82106,                0.86816,                0.64537,                0.74183,                0.69458,                0.63481,                 0.4547,                0.98759,                 2.0642,                0.77896,                 1.1175,              0.0010396,              0.0010396,              0.0010396
                     19,                0.92219,                 1.6825,                0.81276,                 1.1973,                 0.9074,                0.81564,                0.87145,                0.66879,                0.75245,                0.69864,                0.63845,                0.48815,                0.94305,                 1.8675,                0.76592,                 1.0992,              0.0010273,              0.0010273,              0.0010273
                     20,                0.93174,                 1.7577,                0.82104,                 1.1962,                 0.9182,                0.79092,                0.86473,                0.65157,                0.77868,                0.67141,                 0.6219,                0.46924,                0.98249,                 1.9677,                0.78267,                  1.123,              0.0010149,              0.0010149,              0.0010149
                     21,                0.93296,                  1.685,                0.81512,                 1.2002,                0.93283,                0.81631,                0.88416,                0.67031,                0.79425,                0.69077,                0.65423,                0.47166,                0.98404,                 1.8801,                0.73144,                 1.0962,              0.0010025,              0.0010025,              0.0010025
                     22,                0.91183,                 1.6633,                0.78245,                 1.1789,                 0.8661,                0.84029,                0.87432,                0.67033,                0.72985,                0.70382,                0.63587,                0.48093,                0.88844,                 1.9925,                0.76179,                 1.0583,             0.00099013,             0.00099013,             0.00099013
